Feature,Group,BID_rank,BID_shap,CTG_rank,CTG_shap,VCB_rank,VCB_shap,rank_variance
VNIndex (t-1),Macro,4,0.00262744,3,0.0025587128,11,0.0005683559,12.666666666666666
Volatility 20d (t-2),Tech,9,0.0011977771,7,0.002022905,4,0.001698353,4.222222222222222
Volatility 20d (t-1),Tech,2,0.0033531454,6,0.0023150004,5,0.0015212975,2.888888888888889
Volume (t-1),Tech,7,0.0014432545,11,0.00084812805,10,0.00057928497,2.888888888888889
Return (t-3),Tech,10,0.00095499307,8,0.0017490594,6,0.0014034017,2.6666666666666665
VN30 (t-1),Macro,5,0.0022257569,2,0.0054804115,2,0.0023651088,2.0
Return (t-1),Tech,6,0.0017704807,5,0.0023530228,7,0.0010435644,0.6666666666666666
Return (t-5),Tech,11,0.00091657933,10,0.0011374144,9,0.000717708,0.6666666666666666
RSI (t-1),Tech,3,0.0030415477,4,0.002528663,3,0.0017705405,0.22222222222222224
Return (t-2),Tech,8,0.001327491,9,0.0016588715,8,0.00080559053,0.2222222222222222
USD/VND (t-1),Macro,1,0.0052748695,1,0.005548647,1,0.0030344466,0.0
Interest Rate (t-1),Macro,12,0.00017472867,12,0.000102655635,12,0.00017771317,0.0
