bank,parameter,value,target,mae
BID,garch_weight,0.0,volatility,0.012744176296525501
BID,garch_weight,0.25,volatility,0.012878066882707925
BID,garch_weight,0.45,volatility,0.013027752104219931
BID,garch_weight,0.5,volatility,0.01306818797825607
BID,garch_weight,0.75,volatility,0.013304368741455984
BID,garch_weight,1.0,volatility,0.013601760116158584
CTG,garch_weight,0.0,volatility,0.011527704873017713
CTG,garch_weight,0.25,volatility,0.011779195135791322
CTG,garch_weight,0.45,volatility,0.012047914612656075
CTG,garch_weight,0.5,volatility,0.012119018799026049
CTG,garch_weight,0.75,volatility,0.012502157077201906
CTG,garch_weight,1.0,volatility,0.01292625602443304
VCB,garch_weight,0.0,volatility,0.012620081147935515
VCB,garch_weight,0.25,volatility,0.012088899901835884
VCB,garch_weight,0.45,volatility,0.011722621323476859
VCB,garch_weight,0.5,volatility,0.011635048893204207
VCB,garch_weight,0.75,volatility,0.011262546350673391
VCB,garch_weight,1.0,volatility,0.010994288586882815
