bank,parameter,value,target,mae
BID,epochs,10,volatility,0.014119933964408794
BID,epochs,10,return,0.02385512569342953
BID,epochs,15,volatility,0.013250346053827938
BID,epochs,15,return,0.020819247078030602
BID,epochs,30,volatility,0.01337046074607716
BID,epochs,30,return,0.01816053176928953
CTG,epochs,10,volatility,0.014864935189789631
CTG,epochs,10,return,0.022217968013247928
CTG,epochs,15,volatility,0.013820342935172609
CTG,epochs,15,return,0.02023518081734524
CTG,epochs,30,volatility,0.01325219324928571
CTG,epochs,30,return,0.02049025306376711
VCB,epochs,10,volatility,0.011004163776527952
VCB,epochs,10,return,0.01587244423886755
VCB,epochs,15,volatility,0.010802747295599237
VCB,epochs,15,return,0.014828859203392723
VCB,epochs,30,volatility,0.01004850942650557
VCB,epochs,30,return,0.01363506742725439
