bank,parameter,value,target,mae
BID,learning_rate,0.001,volatility,0.02525109875876819
BID,learning_rate,0.001,return,0.02760068379587243
BID,learning_rate,0.01,volatility,0.013440263292025167
BID,learning_rate,0.01,return,0.02017912382683236
BID,learning_rate,0.1,volatility,0.013372761308324155
BID,learning_rate,0.1,return,0.018459105150060332
CTG,learning_rate,0.001,volatility,0.02140139482102813
CTG,learning_rate,0.001,return,0.032803207844237486
CTG,learning_rate,0.01,volatility,0.0134107907859453
CTG,learning_rate,0.01,return,0.02554569308312941
CTG,learning_rate,0.1,volatility,0.012788285163581839
CTG,learning_rate,0.1,return,0.01818494667799578
VCB,learning_rate,0.001,volatility,0.01750029052643285
VCB,learning_rate,0.001,return,0.030392262201469428
VCB,learning_rate,0.01,volatility,0.010093420261393515
VCB,learning_rate,0.01,return,0.014681613307677487
VCB,learning_rate,0.1,volatility,0.009858482245948413
VCB,learning_rate,0.1,return,0.013431435772397771
