bank,parameter,value,target,mae
BID,epochs,10,volatility,0.01044076664949429
BID,epochs,10,return,0.01555182349783957
BID,epochs,15,volatility,0.010413202394337587
BID,epochs,15,return,0.015466543963971773
BID,epochs,20,volatility,0.010434050454383522
BID,epochs,20,return,0.015534265056731621
CTG,epochs,10,volatility,0.010248069930585886
CTG,epochs,10,return,0.015918089810484936
CTG,epochs,15,volatility,0.01028564025363322
CTG,epochs,15,return,0.015899649336326618
CTG,epochs,20,volatility,0.01032570957399699
CTG,epochs,20,return,0.01581361359961844
VCB,epochs,10,volatility,0.007858400812555356
VCB,epochs,10,return,0.011835096159762866
VCB,epochs,15,volatility,0.007867101873871057
VCB,epochs,15,return,0.011910484125627653
VCB,epochs,20,volatility,0.007771025875697982
VCB,epochs,20,return,0.011813343365579657
