bank,parameter,value,target,mae
BID,hidden_size,8,volatility,0.0104054362123441
BID,hidden_size,8,return,0.01557493564951945
BID,hidden_size,16,volatility,0.01046459251691069
BID,hidden_size,16,return,0.015454322096684143
BID,hidden_size,32,volatility,0.015395389178703261
BID,hidden_size,32,return,
CTG,hidden_size,8,volatility,
CTG,hidden_size,8,return,
CTG,hidden_size,16,volatility,
CTG,hidden_size,16,return,
CTG,hidden_size,32,volatility,0.008829536390142853
CTG,hidden_size,32,return,0.015864813940798077
VCB,hidden_size,8,volatility,0.007942913903123322
VCB,hidden_size,8,return,0.011837737060828225
VCB,hidden_size,16,volatility,0.007839742778119156
VCB,hidden_size,16,return,0.011853385851778569
VCB,hidden_size,32,volatility,0.00776115571124429
VCB,hidden_size,32,return,0.011817912762861996
