bank,parameter,value,target,mae
BID,max_depth,3,volatility,0.011625007640551924
BID,max_depth,4,volatility,0.011906762470318806
BID,max_depth,5,volatility,0.012078866511538767
BID,max_depth,6,volatility,0.0126054074169773
BID,max_depth,7,volatility,0.013047985332220388
BID,max_depth,8,volatility,0.013309150160494538
CTG,max_depth,3,volatility,0.010572772297653781
CTG,max_depth,4,volatility,0.010773639490411166
CTG,max_depth,5,volatility,0.010938000039412206
CTG,max_depth,6,volatility,0.011056683744862593
CTG,max_depth,7,volatility,0.011240333137953251
CTG,max_depth,8,volatility,0.011308712153081484
VCB,max_depth,3,volatility,0.00952739824540777
VCB,max_depth,4,volatility,0.01012586111184977
VCB,max_depth,5,volatility,0.010495658083279638
VCB,max_depth,6,volatility,0.010379272035397133
VCB,max_depth,7,volatility,0.010470315970583448
VCB,max_depth,8,volatility,0.010915259451233705
